Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,"        Criminal justice and law enforcement teachers, postsecondary",False,,,,,,25-1111,Line item,16.5,16.9,0.4,2.7,—,1.3,69030,Doctoral or professional degree,,,"        Criminal justice and law enforcement teachers, postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",Similar Match,87.08333333333333,311,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
,"        Law teachers, postsecondary",False,,,,,,25-1112,Line item,19.8,20.4,0.6,3,0.3,1.6,127360,Doctoral or professional degree,Less than 5 years,,"        Law teachers, postsecondary","Law Teachers, Postsecondary",Similar Match,87.96296296296296,312,25-1112,"Law Teachers, Postsecondary"
,"        Social work teachers, postsecondary",False,,,,,,25-1113,Line item,15.5,16.1,0.6,4,—,1.3,75020,Doctoral or professional degree,,,"        Social work teachers, postsecondary","Social Work Teachers, Postsecondary",Similar Match,86.85714285714286,313,25-1113,"Social Work Teachers, Postsecondary"
,"      Arts, communications, history, and humanities teachers, postsecondary",False,,,,,,25-1120,Summary,304.1,311.4,7.4,2.4,0.2,24.7,79960,—,—,—,"      Arts, communications, history, and humanities teachers, postsecondary","Arts, Communications, History, and Humanities Teachers, Postsecondary",Similar Match,88.88888888888889,314,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
,"        Art, drama, and music teachers, postsecondary",False,,,,,,25-1121,Line item,123.9,127.8,3.9,3.2,0.3,10.2,80360,Master's degree,,,"        Art, drama, and music teachers, postsecondary","Art, Drama, and Music Teachers, Postsecondary",Similar Match,86.55555555555556,315,25-1121,"Art, Drama, and Music Teachers, Postsecondary"
,"        Communications teachers, postsecondary",False,,,,,,25-1122,Line item,33.6,34.8,1.2,3.4,0.2,2.8,79910,Doctoral or professional degree,,,"        Communications teachers, postsecondary","Communications Teachers, Postsecondary",Similar Match,90.0,316,25-1122,"Communications Teachers, Postsecondary"
,"        English language and literature teachers, postsecondary",False,,,,,,25-1123,Line item,70.1,70.9,0.9,1.2,0.1,5.6,78130,Doctoral or professional degree,,,"        English language and literature teachers, postsecondary","English Language and Literature Teachers, Postsecondary",Similar Match,88.0909090909091,317,25-1123,"English Language and Literature Teachers, Postsecondary"
,"        Foreign language and literature teachers, postsecondary",False,,,,,,25-1124,Line item,24.7,25,0.3,1.4,0.2,2,78760,Doctoral or professional degree,,,"        Foreign language and literature teachers, postsecondary","Foreign Language and Literature Teachers, Postsecondary",Similar Match,88.0909090909091,318,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
,"        History teachers, postsecondary",False,,,,,,25-1125,Line item,22.8,23.1,0.3,1.3,—,1.8,82140,Doctoral or professional degree,,,"        History teachers, postsecondary","History Teachers, Postsecondary",Similar Match,88.87096774193549,319,25-1125,"History Teachers, Postsecondary"
,"        Philosophy and religion teachers, postsecondary",False,,,,,,25-1126,Line item,29.1,29.9,0.8,2.7,0.3,2.4,79930,Doctoral or professional degree,,,"        Philosophy and religion teachers, postsecondary","Philosophy and Religion Teachers, Postsecondary",Similar Match,88.93617021276596,320,25-1126,"Philosophy and Religion Teachers, Postsecondary"
,      Miscellaneous postsecondary teachers,False,,,,,,25-1190,Summary,395.1,404.6,9.5,2.4,0.2,32.1,71800,—,—,—,      Miscellaneous postsecondary teachers,Miscellaneous Postsecondary Teachers,Similar Match,89.72222222222221,321,25-1190,Miscellaneous Postsecondary Teachers
,"        Family and consumer sciences teachers, postsecondary",False,,,,,,25-1192,Line item,2.9,3,0.1,3.9,—,0.2,78410,Doctoral or professional degree,,,"        Family and consumer sciences teachers, postsecondary","Family and Consumer Sciences Teachers, Postsecondary",Similar Match,87.6923076923077,322,25-1192,"Family and Consumer Sciences Teachers, Postsecondary"
,"        Recreation and fitness studies teachers, postsecondary",False,,,,,,25-1193,Line item,16.3,16.8,0.5,3.3,—,1.3,75770,Doctoral or professional degree,,,"        Recreation and fitness studies teachers, postsecondary","Recreation and Fitness Studies Teachers, Postsecondary",Similar Match,87.96296296296296,323,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
,"        Career/technical education teachers, postsecondary",False,,,,,,25-1194,Line item,113,112.5,-0.6,-0.5,0.3,8.7,62060,Bachelor's degree,Less than 5 years,,"        Career/technical education teachers, postsecondary","Career/Technical Education Teachers, Postsecondary",Similar Match,87.39999999999999,324,25-1194,"Career/Technical Education Teachers, Postsecondary"
,"        Postsecondary teachers, all other",False,,,,,,25-1199,Line item,262.8,272.3,9.4,3.6,0.1,21.8,79870,Doctoral or professional degree,,,"        Postsecondary teachers, all other","Postsecondary Teachers, All Other",Similar Match,86.36363636363636,325,25-1199,"Postsecondary Teachers, All Other"
,"    Preschool, elementary, middle, secondary, and special education teachers",False,,,,,,25-2000,Summary,4355.9,4402.1,46.1,1.1,0.5,314.3,63280,—,—,—,"    Preschool, elementary, middle, secondary, and special education teachers","Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Similar Match,89.1891891891892,326,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
,      Preschool and kindergarten teachers,False,,,,,,25-2010,Summary,635.7,653.6,17.9,2.8,1.4,69.3,39330,—,—,—,      Preschool and kindergarten teachers,Preschool and Kindergarten Teachers,Similar Match,89.57142857142857,327,25-2010,Preschool and Kindergarten Teachers
,      Chefs and head cooks,True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end; on the line of a skilled trade and professoion ,35-1011,Line item,174.4,183.6,9.2,5.3,4,22,58920,High school diploma or equivalent,5 years or more,,      Chefs and head cooks,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,"        Kindergarten teachers, except special education",False,,,,,,25-2012,Line item,123.4,124.1,0.7,0.5,0.3,13,62690,Bachelor's degree,,,"        Kindergarten teachers, except special education","Kindergarten Teachers, Except Special Education",Similar Match,86.91489361702128,329,25-2012,"Kindergarten Teachers, Except Special Education"
,      Elementary and middle school teachers,False,,,,,,25-2020,Summary,2061.6,2076.7,15.1,0.7,0.4,139,63870,—,—,—,      Elementary and middle school teachers,Elementary and Middle School Teachers,Similar Match,87.29729729729729,330,25-2020,Elementary and Middle School Teachers
,"        Elementary school teachers, except special education",False,,,,,,25-2021,Line item,1425,1435,10,0.7,0.4,96,63680,Bachelor's degree,,,"        Elementary school teachers, except special education","Elementary School Teachers, Except Special Education",Similar Match,85.86538461538461,331,25-2021,"Elementary School Teachers, Except Special Education"
,"        Middle school teachers, except special and career/technical education",False,,,,,,25-2022,Line item,625.5,630.6,5.1,0.8,0.4,42.2,64290,Bachelor's degree,,,"        Middle school teachers, except special and career/technical education",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,"        Career/technical education teachers, middle school",False,,,,,,25-2023,Line item,11.1,11.1,0,0,—,0.7,63860,Bachelor's degree,Less than 5 years,,"        Career/technical education teachers, middle school","Career/Technical Education Teachers, Middle School",Similar Match,85.5,333,25-2023,"Career/Technical Education Teachers, Middle School"
,      Secondary school teachers,False,,,,,,25-2030,Summary,1160.2,1171.1,10.9,0.9,0.4,72.5,65210,—,—,—,      Secondary school teachers,Secondary School Teachers,Similar Match,87.39999999999999,334,25-2030,Secondary School Teachers
,"        Secondary school teachers, except special and career/technical education",False,,,,,,25-2031,Line item,1072.3,1083.4,11.1,1,0.4,67.1,65220,Bachelor's degree,,,"        Secondary school teachers, except special and career/technical education","Secondary School Teachers, Except Special and Career/Technical Education",Similar Match,85.76388888888889,335,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
,"        Career/technical education teachers, secondary school",False,,,,,,25-2032,Line item,88,87.7,-0.2,-0.2,0.1,5.4,65130,Bachelor's degree,Less than 5 years,,"        Career/technical education teachers, secondary school","Career/Technical Education Teachers, Secondary School",Similar Match,86.0377358490566,336,25-2032,"Career/Technical Education Teachers, Secondary School"
,      Special education teachers,False,,,,,,25-2050,Summary,498.4,500.7,2.2,0.4,0.1,33.5,65910,—,—,—,      Special education teachers,Special Education Teachers,Similar Match,87.6923076923077,337,25-2050,Special Education Teachers
,"        Special education teachers, preschool",False,,,,,,25-2051,Line item,23.8,24.3,0.5,1.9,—,1.6,65270,Bachelor's degree,,,"        Special education teachers, preschool","Special Education Teachers, Preschool",Similar Match,87.29729729729729,338,25-2051,"Special Education Teachers, Preschool"
,"        Special education teachers, kindergarten and elementary school",False,,,,,,25-2052,Line item,194.7,194.6,-0.1,0,0,12.9,64910,Bachelor's degree,,,"        Special education teachers, kindergarten and elementary school","Special Education Teachers, Kindergarten and Elementary School",Similar Match,87.33870967741936,339,25-2052,"Special Education Teachers, Kindergarten and Elementary School"
,"        Special education teachers, middle school",False,,,,,,25-2057,Line item,82.8,82.6,-0.1,-0.2,—,5.5,66600,Bachelor's degree,,,"        Special education teachers, middle school","Special Education Teachers, Middle School",Similar Match,85.73170731707317,340,25-2057,"Special Education Teachers, Middle School"
,"        Special education teachers, secondary school",False,,,,,,25-2058,Line item,153.2,154,0.7,0.5,0,10.3,66620,Bachelor's degree,,,"        Special education teachers, secondary school","Special Education Teachers, Secondary School",Similar Match,86.36363636363636,341,25-2058,"Special Education Teachers, Secondary School"
,"        Special education teachers, all other",False,,,,,,25-2059,Line item,43.9,45.2,1.3,2.9,0.2,3.1,67190,Bachelor's degree,,,"        Special education teachers, all other","Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Similar Match,85.5,326,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
,    Other teachers and instructors,False,,,,,,25-3000,Summary,1190.1,1223.8,33.7,2.8,11.6,158.4,41700,—,—,—,    Other teachers and instructors,Other Teachers and Instructors,Similar Match,88.66666666666666,343,25-3000,Other Teachers and Instructors
,"      Adult basic education, adult secondary education, and english as a second language instructors",False,,,,,,25-3011,Line item,42.2,36.9,-5.3,-12.6,7,4.2,60560,Bachelor's degree,,,"      Adult basic education, adult secondary education, and english as a second language instructors","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Similar Match,87.62886597938144,344,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
,      Massage therapists,True,Skilled Trade,Trade,Somewhat Certain,IN,,31-9011,Line item,134.3,158.9,24.6,18.3,34.6,22,55310,Postsecondary nondegree award,,,      Massage therapists,Massage Therapists,Similar Match,89.72222222222221,523,31-9011,Massage Therapists
,"      Substitute teachers, short-term",False,,,,,,25-3031,Line item,421.6,438.9,17.4,4.1,4.5,53,37380,Bachelor's degree,,,"      Substitute teachers, short-term","Substitute Teachers, Short-Term",Similar Match,85.80645161290323,346,25-3031,"Substitute Teachers, Short-Term"
,        Phlebotomists,True,Skilled Trade,Trade,Somewhat Certain,IN,Could be considered skilled trade but training time is short*,31-9097,Line item,139.4,150.2,10.8,7.7,0.3,19.5,41810,Postsecondary nondegree award,,,        Phlebotomists,Phlebotomists,Similar Match,90.0,531,31-9097,Phlebotomists
,"      Teachers and instructors, all other",False,,,,,,25-3099,Line item,148,150.9,2.9,1.9,9.9,18.1,64390,Bachelor's degree,,,"      Teachers and instructors, all other","Teachers and Instructors, All Other",Similar Match,86.85714285714286,349,25-3099,"Teachers and Instructors, All Other"
,"    Librarians, curators, and archivists",False,,,,,,25-4000,Summary,257.6,260.8,3.2,1.2,1.3,30.9,55460,—,—,—,"    Librarians, curators, and archivists","Librarians, Curators, and Archivists",Similar Match,89.72222222222221,350,25-4000,"Librarians, Curators, and Archivists"
,"      Archivists, curators, and museum technicians",False,,,,,,25-4010,Summary,37.7,41.5,3.7,9.9,8.6,5,57120,—,—,—,"      Archivists, curators, and museum technicians",Archivists,Similar Match,90.0,352,25-4011,Archivists
,        Archivists,False,,,,,,25-4011,Line item,9.4,10.2,0.8,8.2,7.5,1.2,59910,Master's degree,,,        Archivists,Archivists,Similar Match,90.0,352,25-4011,Archivists
,        Curators,False,,,,,,25-4012,Line item,13.9,15.4,1.5,11.1,9.3,1.9,61750,Master's degree,,,        Curators,Curators,Similar Match,90.0,353,25-4012,Curators
,        Museum technicians and conservators,False,,,,,,25-4013,Line item,14.4,15.9,1.4,9.9,8.7,1.9,48670,Bachelor's degree,,,        Museum technicians and conservators,Museum Technicians and Conservators,Similar Match,89.57142857142857,354,25-4013,Museum Technicians and Conservators
,      Librarians and media collections specialists,False,,,,,,25-4022,Line item,141.2,145.5,4.3,3,—,13.7,64370,Master's degree,,,      Librarians and media collections specialists,Librarians and Media Collections Specialists,Similar Match,88.52272727272728,355,25-4022,Librarians and Media Collections Specialists
