,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
160,        Pharmacy technicians,False,Skilled Trade,Trade,Somewhat Certain,IN,daily work involves more desktop skills than manual skills,29-2052,Line item,459.6,485.5,25.9,5.6,0.1,44.9,40300,High school diploma or equivalent,,Moderate-term on-the-job training
219,"        Plumbers, pipefitters, and steamfitters",True,Skilled Trade,Trade,Very Certain,IN,,47-2152,Line item,482.7,493.6,10.9,2.3,9.6,42.6,61550,High school diploma or equivalent,,Apprenticeship
221,"        Welders, cutters, solderers, and brazers",True,Skilled Trade,Trade,Very Certain,IN,,51-4121,Line item,431.8,438,6.2,1.4,4,42.6,48940,High school diploma or equivalent,,Moderate-term on-the-job training
222,        Industrial machinery mechanics,True,Skilled Trade,Trade,Very Certain,IN,,49-9041,Line item,402.2,462.1,59.9,14.9,1.9,39.2,61420,High school diploma or equivalent,,Long-term on-the-job training
224,        Operating engineers and other construction equipment operators,True,Skilled Trade,Trade,Very Certain,IN,,47-2073,Line item,437.6,449.2,11.6,2.7,2.1,38.2,56160,High school diploma or equivalent,,Moderate-term on-the-job training
227,"      Heating, air conditioning, and refrigeration mechanics and installers",True,Skilled Trade,Trade,Very Certain,IN,,49-9021,Line item,415.8,438.8,23,5.5,7.8,37.7,57300,Postsecondary nondegree award,,Long-term on-the-job training
230,      Bakers,False,Non skilled worker,Not Trade,Somewhat Certain,IN,similar to cook but perhaps less skilled? I'd say in,51-3011,Line item,218.8,229.6,10.8,4.9,4,33.8,34950,No formal educational credential,,Moderate-term on-the-job training
264,      Machinists,True,Skilled Trade,Trade,Very Certain,IN,,51-4041,Line item,327,333.3,6.3,1.9,1.4,32.6,50840,High school diploma or equivalent,,Long-term on-the-job training
266,"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",True,Skilled Trade,Trade,Very Certain,IN,,51-2028,Line item,282.9,295.6,12.7,4.5,0.8,31.8,40490,High school diploma or equivalent,,Moderate-term on-the-job training
267,      Bus and truck mechanics and diesel engine specialists,True,Skilled Trade,Trade,Very Certain,IN,,49-3031,Line item,291.6,294.1,2.5,0.9,4.6,24.3,58970,High school diploma or equivalent,,Long-term on-the-job training
319,      Chefs and head cooks,True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end; on the line of a skilled trade and professoion ,35-1011,Line item,174.4,183.6,9.2,5.3,4,22,58920,High school diploma or equivalent,5 years or more,
336,      Massage therapists,True,Skilled Trade,Trade,Somewhat Certain,IN,,31-9011,Line item,134.3,158.9,24.6,18.3,34.6,22,55310,Postsecondary nondegree award,,
338,        Phlebotomists,True,Skilled Trade,Trade,Somewhat Certain,IN,Could be considered skilled trade but training time is short*,31-9097,Line item,139.4,150.2,10.8,7.7,0.3,19.5,41810,Postsecondary nondegree award,,
346,"        Telecommunications equipment installers and repairers, except line installers",True,Skilled Trade,Trade,Very Certain,IN,,49-2022,Line item,173.7,184.7,11,6.3,2.2,19.1,61270,Postsecondary nondegree award,,Moderate-term on-the-job training
